n_spots,max_n_spots,bulk_fluorescence,avg_spot_size,percent_area,time_to_threshold,max_spot_change,max_area_change,max_fluorescence_change,copy_number,log_copy_number
281,293,74.17732301,0.000470736,0.132276837,41.66666667,123,0.042785687,25.34347826,1000,3
236,260,35.71578274,0.000325956,0.076925611,41.66666667,106,0.030124649,14.76201433,1000,3
176,194,38.002193,0.000428989,0.075501981,42.66666667,73,0.024580919,14.18027454,1000,3
176,219,42.69491943,0.000348637,0.061360036,59.66666667,67,0.020562833,19.72796874,1000,3
307,322,55.23369635,0.000399425,0.122623565,32.33333333,141,0.046631843,22.35770956,2000,3.301029996
304,331,55.85371858,0.000384455,0.116874454,36,117,0.050670391,23.52408511,2000,3.301029996
345,360,85.45534828,0.000459926,0.158674379,34,166,0.063422511,46.56393348,2000,3.301029996
301,309,56.07144792,0.000425594,0.128103651,31.33333333,122,0.044762793,19.60880208,2000,3.301029996
37,297,22.27358401,8.88E-05,0.003284747,59,68,0.036491417,12.43891788,2000,3.301029996
15,194,11.66160153,7.98E-05,0.001197243,59.66666667,47,0.018346559,9.001273867,2000,3.301029996
329,363,49.71490277,0.000331369,0.109020527,41.33333333,137,0.034492234,24.44453282,3000,3.477121255
348,380,62.20097006,0.000370498,0.128933432,38.33333333,157,0.04250928,25.66350903,3000,3.477121255
262,347,25.62042851,0.000235091,0.061593789,46,112,0.030649427,11.79346006,3000,3.477121255
163,261,17.25729415,0.000175947,0.028679285,55.66666667,75,0.018107499,9.93457997,3000,3.477121255
141,335,14.36147906,0.00015975,0.022524724,58,86,0.031180247,14.17129381,3000,3.477121255
303,374,77.37422445,0.000490941,0.148755227,40.33333333,124,0.064280852,43.18067198,4000,3.602059991
410,446,60.45402966,0.000356119,0.146008693,35,210,0.058443793,23.87791555,4000,3.602059991
175,236,31.56517124,0.000299099,0.052342298,38,87,0.02951978,13.55016718,4000,3.602059991
335,361,67.86540936,0.000436254,0.146145224,33.66666667,130,0.05331384,32.33433723,4000,3.602059991
315,326,109.2593256,0.000528715,0.166545193,30.66666667,143,0.069533441,53.35188334,4000,3.602059991
377,408,126.6757862,0.000556082,0.209642895,43,144,0.067871033,56.52961862,4000,3.602059991
258,331,32.03728549,0.000259693,0.067000881,44.33333333,101,0.037362101,13.38221577,4000,3.602059991
332,390,36.6590783,0.000273809,0.090904505,38,147,0.044218607,14.74513536,4000,3.602059991
393,413,91.64937071,0.00053973,0.212113844,32.66666667,206,0.075,26.99703947,5000,3.698970004
438,451,107.7688602,0.000478985,0.209795367,31.33333333,191,0.074980964,45.85954419,5000,3.698970004
341,356,75.81668098,0.000417781,0.142463374,32.33333333,192,0.05582165,23.00317373,5000,3.698970004
426,428,94.12916895,0.000434245,0.184988435,31.66666667,169,0.062019521,36.28809517,5000,3.698970004
506,520,150.491877,0.00059382,0.300472763,27.66666667,308,0.090121013,48.56994764,5000,3.698970004
423,425,107.6017225,0.000495689,0.209676335,27.66666667,176,0.056974969,34.81498977,5000,3.698970004
385,421,99.64288647,0.000477472,0.183826762,36,163,0.068292589,55.6617976,6000,3.77815125
334,344,113.7200441,0.000566461,0.189198138,31.33333333,180,0.07099189,54.28821441,6000,3.77815125
478,487,98.55657467,0.000407945,0.194997817,30.33333333,248,0.073142783,32.5459542,6000,3.77815125
417,426,105.4886198,0.000499734,0.208389262,30.33333333,251,0.077716175,35.12921408,6000,3.77815125
320,425,75.45534117,0.000509346,0.162990785,59.33333333,154,0.061092088,49.32884789,7000,3.84509804
338,433,98.85894186,0.000557191,0.188330675,59.66666667,181,0.071737108,54.79654629,7000,3.84509804
394,456,61.32060917,0.000332139,0.130862911,45.33333333,176,0.053228167,16.65060892,7000,3.84509804
497,517,77.35616662,0.000363125,0.180473174,32,197,0.0616086,27.35121893,7000,3.84509804
501,526,158.4639425,0.000484998,0.242983927,28.33333333,311,0.085313712,40.90469059,8000,3.903089987
479,489,105.5359834,0.000425198,0.203670075,25,269,0.073536937,29.98965597,8000,3.903089987
465,480,131.1508012,0.000527026,0.245067175,29,270,0.102835227,49.50491988,8000,3.903089987
440,453,135.2829723,0.000541447,0.238236539,28.66666667,255,0.089986149,40.30179097,8000,3.903089987
530,536,153.6725256,0.000504467,0.267367586,29.66666667,280,0.08894632,38.65637803,9000,3.954242509
519,525,134.7224048,0.000458925,0.238181907,28.66666667,336,0.097512755,42.30160911,9000,3.954242509
476,498,77.50486608,0.000377918,0.179889011,37.66666667,225,0.065400844,28.6427949,9000,3.954242509
455,478,81.1275006,0.000396136,0.180241873,31.33333333,218,0.069764035,26.08834635,9000,3.954242509
424,498,302.3034754,0.000807782,0.342499759,16.66666667,312,0.096302902,56.54758026,10000,4
392,414,153.6716432,0.000585848,0.229652558,20,233,0.067904789,30.53235435,10000,4
476,482,133.7323201,0.000481892,0.229380518,31,239,0.079694323,36.21440386,10000,4
513,531,128.0798934,0.000467408,0.239780415,27.66666667,289,0.085354317,36.735576,10000,4
352,551,37.27320392,0.000279106,0.098245396,58.66666667,167,0.061456778,19.66187987,10000,4
434,668,254.1636668,0.00071507,0.310340204,58.33333333,320,0.124518183,66.09805358,20000,4.301029996
470,783,241.9702526,0.000686477,0.322644101,57,257,0.10781457,62.53643856,20000,4.301029996
492,508,71.35212212,0.000417992,0.205651957,28.66666667,235,0.067982456,17.43486172,20000,4.301029996
469,495,61.04704378,0.000359654,0.168677699,33,205,0.052808741,15.58081954,20000,4.301029996
600,653,313.0253798,0.00071512,0.429071959,22.66666667,465,0.17591815,82.16266376,30000,4.477121255
19,482,30.38000815,6.88E-05,0.001307536,57,160,0.051763747,22.63553971,30000,4.477121255
498,1235,33.51646755,0.000162651,0.081000273,56.66666667,301,0.114225124,35.57393915,30000,4.477121255
570,616,217.6734246,0.000620095,0.35345403,21.66666667,425,0.1421844,56.8447587,30000,4.477121255
368,509,248.3155951,0.00079449,0.292372385,59.66666667,214,0.09877122,69.15582449,30000,4.477121255
380,619,263.6933254,0.000781414,0.29693741,59,223,0.101949355,78.01182035,30000,4.477121255
464,612,240.7909373,0.000566853,0.263019741,59.66666667,203,0.085870894,140.2169462,30000,4.477121255
473,689,242.8633661,0.000760528,0.35972988,59.33333333,213,0.107868046,71.20076428,40000,4.602059991
538,679,287.0417724,0.000659273,0.354688761,58.66666667,400,0.167901703,82.24541724,40000,4.602059991
655,692,197.1286975,0.000580675,0.38034188,25,460,0.153962282,62.25245262,40000,4.602059991
489,489,113.3094588,0.000469966,0.229813241,30,235,0.078636736,36.92014485,40000,4.602059991
416,643,357.6963134,0.000746826,0.310679564,58,328,0.167383836,101.511776,50000,4.698970004
482,722,473.7150744,0.000740017,0.356688388,52.33333333,435,0.204814004,130.4625003,50000,4.698970004
562,782,482.2762104,0.000888734,0.499468388,54,497,0.210765141,122.5611116,50000,4.698970004
597,847,360.6455088,0.000776983,0.463858759,59.33333333,550,0.196722543,96.87884679,50000,4.698970004
381,793,240.6507944,0.000723516,0.27565949,59,306,0.159534769,65.01670874,60000,4.77815125
