,n_spots,max_n_spots,bulk_fluorescence,avg_spot_size,percent_area,time_to_threshold,max_spot_change,max_area_change,max_fluorescence_change,copy_number,log_copy_number
23,40,160,61.35081998474447,0.00042369851258581236,0.016947940503432495,58.333333333333336,46,0.016113653699466053,14.767620137299772,50,1.6989700043360187
24,7,14,6.314192918192918,0.00021070992499563928,0.001474969474969475,54.0,4,0.0019096459096459096,5.128166056166057,50,1.6989700043360187
25,20,30,12.036475949558973,0.0002089077111104795,0.00417815422220959,58.333333333333336,9,0.0027570133303015656,7.629385403935611,50,1.6989700043360187
26,63,119,74.83258445423624,0.0008346186598737619,0.052580975572047,49.666666666666664,32,0.014257691713048852,16.669493081323438,50,1.6989700043360187
27,68,104,27.49366864810107,0.0003937243583761607,0.02677325636957893,58.333333333333336,24,0.008744433188707736,12.840144115904355,50,1.6989700043360187
28,14,25,19.05236668093811,0.0006095944871455076,0.008534322820037106,53.333333333333336,7,0.0028067170924313788,7.136763236763237,60,1.7781512503836436
29,26,37,18.820013450918356,0.00041004898728283436,0.010661273669353693,52.0,12,0.004224725061334294,6.821188038155142,60,1.7781512503836436
30,43,233,33.858903836572,0.0004499368489357018,0.019347284504235177,59.333333333333336,57,0.022062780269058307,13.205142002989538,60,1.7781512503836436
31,42,240,17.612473884140552,0.0003337403337403338,0.014017094017094018,59.666666666666664,54,0.03642450142450142,16.85729819563153,60,1.7781512503836436
32,20,32,15.502956436612823,0.00037224669603524226,0.007444933920704846,43.666666666666664,10,0.004390602055800292,8.350846793930494,70,1.845098040014257
33,14,30,21.408827609111867,0.00048353065291290584,0.006769429140780682,59.333333333333336,10,0.005392099402180283,12.062268002969562,70,1.845098040014257
34,62,86,13.988481947055138,0.0003903407712830463,0.024201127819548873,58.666666666666664,22,0.011684484649122806,10.960408834586467,70,1.845098040014257
35,58,105,21.67020881006865,0.000481667061206239,0.02793668954996186,56.666666666666664,19,0.010550152555301298,12.061727688787187,70,1.845098040014257
36,16,26,20.70394253806322,0.0002901233673390525,0.00464197387742484,52.666666666666664,7,0.0034150629878661395,10.063253535821932,80,1.9030899869919435
37,8,19,13.674181996566103,0.000377728722099583,0.003021829776796664,58.0,4,0.0023939170959038514,8.712661270542064,80,1.9030899869919435
38,24,32,20.2429810298103,0.00029502340477950234,0.007080561714708057,58.333333333333336,10,0.0041290958364129104,10.987326927814735,80,1.9030899869919435
39,14,49,24.355483217028574,0.00024017442928986338,0.0033624420100580874,59.333333333333336,12,0.005136251997972789,12.767260535651634,80,1.9030899869919435
40,44,131,14.86965484259305,0.0002560795707532956,0.011267501113145006,59.333333333333336,27,0.01030689820082785,14.587324164316694,80,1.9030899869919435
41,15,42,44.236310062140795,0.00029854810319845183,0.004478221547976778,55.333333333333336,14,0.002888234092831928,16.984707918818255,90,1.954242509439325
42,46,147,55.03011292963161,0.0003683022378368881,0.016941902940496852,52.0,75,0.013819991052158056,18.463655537583396,90,1.954242509439325
43,39,252,29.620464725643895,0.00025028474076626374,0.009761104889884286,59.666666666666664,64,0.031924225457260175,17.904404628592758,90,1.954242509439325
44,20,170,23.982811075387495,0.0003870147319928979,0.007740294639857958,59.666666666666664,75,0.017203320696770476,17.54435433562071,90,1.954242509439325
45,125,220,25.12739580668694,0.00026349846990497304,0.03293730873812163,54.0,51,0.023278287809453437,9.375853868819217,100,2.0
46,33,70,10.368292381892754,0.00022642113064412928,0.007471897311256266,52.0,20,0.0057961795533951095,10.388662084156161,100,2.0
