,n_spots,max_n_spots,bulk_fluorescence,avg_spot_size,percent_area,time_to_threshold,max_spot_change,max_area_change,max_fluorescence_change,copy_number,log_copy_number
40,254,274,79.2032866618257,0.000496901112227317,0.1262128825057385,25.666666666666668,112,0.05724854161691676,22.573581944803188,900,2.9542425094393248
41,226,430,74.3755894738885,0.00047159628472806016,0.1065807603485416,23.0,275,0.05818568184905587,30.666396592210212,900,2.9542425094393248
42,37,297,22.273584013914096,8.877695753830055e-05,0.0032847474289171203,59.0,68,0.03649141712038718,12.438917876588018,2000,3.3010299956639813
43,15,194,11.661601528640459,7.98162311094935e-05,0.0011972434666424026,59.666666666666664,47,0.018346558882828178,9.001273867048507,2000,3.3010299956639813
44,537,576,56.06679188031414,0.0002832290795291361,0.1520940157071461,34.0,264,0.06209434023495814,22.95990458882327,1000,3.0
45,281,293,74.17732300884956,0.00047073607560531766,0.13227683724509426,41.666666666666664,123,0.042785686802616386,25.343478260869574,1000,3.0
46,236,260,35.71578273738101,0.00032595597736029573,0.0769256106570298,41.666666666666664,106,0.030124648851621277,14.762014332971013,1000,3.0
47,262,347,25.620428511626137,0.00023509079864636505,0.06159378924534764,46.0,112,0.030649427255775012,11.79346006012863,3000,3.4771212547196626
48,163,261,17.25729415330984,0.00017594653131656473,0.028679284604600053,55.666666666666664,75,0.018107498768519567,9.934579970444469,3000,3.4771212547196626
49,141,335,14.361479055672321,0.00015974981734211661,0.022524724245238444,58.0,86,0.031180246672206202,14.171293807126446,3000,3.4771212547196626
50,258,331,32.03728548992569,0.0002596933373004632,0.0670008810235195,44.333333333333336,101,0.03736210066651345,13.382215774151533,4000,3.6020599913279625
51,332,390,36.65907829747814,0.0002738087496026582,0.09090450486808253,38.0,147,0.044218607402787394,14.745135357000358,4000,3.6020599913279625
52,393,413,91.64937070938215,0.000539729883953162,0.21211384439359268,32.666666666666664,206,0.07500000000000001,26.99703947368421,5000,3.6989700043360187
53,438,451,107.76886017633002,0.00047898485649927277,0.20979536714668148,31.333333333333332,191,0.07498096382888039,45.859544185467385,5000,3.6989700043360187
54,341,356,75.81668098239894,0.00041778115414359935,0.14246337356296737,32.333333333333336,192,0.05582165023997049,23.003173725050594,5000,3.6989700043360187
55,426,428,94.12916894609043,0.0004342451524029373,0.1849884349236513,31.666666666666668,169,0.06201952146497365,36.28809516954114,5000,3.6989700043360187
56,506,520,150.49187698912,0.000593819689592699,0.3004727629339057,27.666666666666668,308,0.09012101250832655,48.569947635260164,5000,3.6989700043360187
57,423,425,107.60172249906385,0.000495688735983055,0.20967633532083224,27.666666666666668,176,0.056974969035342916,34.81498977446208,5000,3.6989700043360187
58,465,480,131.1508011576198,0.0005270261825591454,0.2450671748900026,29.0,270,0.10283522740641396,49.504919884238035,8000,3.9030899869919438
59,440,453,135.28297231787315,0.0005414466792465368,0.23823653886847623,28.666666666666668,255,0.0899861493180463,40.30179097012484,8000,3.9030899869919438
60,476,498,77.50486607961842,0.0003779180907365698,0.17988901119060724,37.666666666666664,225,0.06540084388185655,28.642794900018345,9000,3.9542425094393248
61,455,478,81.12750060255483,0.00039613598373327863,0.18024187259864177,31.333333333333332,218,0.06976403480167676,26.088346353243622,9000,3.9542425094393248
62,476,482,133.73232008166505,0.0004818918436767323,0.22938051759012457,31.0,239,0.0796943231441048,36.21440386396719,10000,4.0
63,513,531,128.0798933608531,0.0004674082165497322,0.2397804150900126,27.666666666666668,289,0.08535431716546267,36.73557600428086,10000,4.0
64,352,551,37.27320391571263,0.00027910623783881624,0.09824539571926331,58.666666666666664,167,0.06145677783308445,19.66187987390078,10000,4.0
65,492,508,71.35212211752088,0.00041799178334233353,0.2056519574044281,28.666666666666668,235,0.06798245614035088,17.434861717612808,20000,4.301029995663981
66,469,495,61.04704378303838,0.00035965394160628056,0.16867769861334558,33.0,205,0.052808741285528225,15.580819543399986,20000,4.301029995663981
67,600,653,313.025379763371,0.0007151199318229886,0.42907195909379314,22.666666666666668,465,0.17591815026312846,82.16266375545851,30000,4.477121254719663
68,19,482,30.38000814663951,6.881766534462429e-05,0.0013075356415478616,57.0,160,0.05176374745417514,22.63553971486762,30000,4.477121254719663
69,498,1235,33.51646754991916,0.00016265115051087672,0.08100027295441661,56.666666666666664,301,0.11422512440422448,35.57393915216159,30000,4.477121254719663
70,570,616,217.6734245508649,0.0006200947889496812,0.35345402970131823,21.666666666666668,425,0.14218440031889054,56.84475869996476,30000,4.477121254719663
71,464,612,240.79093728162124,0.0005668528910335188,0.26301974143955276,59.666666666666664,203,0.08587089447938503,140.2169461914745,30000,4.477121254719663
72,655,692,197.12869751021924,0.0005806746264761532,0.3803418803418803,25.0,460,0.153962281679673,62.25245261984392,40000,4.6020599913279625
73,489,489,113.309458827199,0.0004699657276043002,0.2298132407985028,30.0,235,0.07863673580786026,36.920144845601996,40000,4.6020599913279625
74,562,782,482.2762103664325,0.0008887337866133523,0.499468388076704,54.0,497,0.21076514144674385,122.56111163850392,50000,4.698970004336019
75,597,847,360.64550875710194,0.0007769828466493932,0.46385875944968774,59.333333333333336,550,0.19672254308118514,96.87884678593231,50000,4.698970004336019
76,530,776,191.2583553589213,0.0007075562040967955,0.3750047881713016,59.666666666666664,414,0.16078200413698002,59.5133254807324,80000,4.903089986991944
77,627,864,227.86141860844822,0.000658828003973458,0.4130851584913582,59.333333333333336,554,0.19588085741608938,71.03973596435983,80000,4.903089986991944
78,637,751,228.20059544709034,0.0006432984431125119,0.40978110826267006,59.333333333333336,458,0.18958592859444667,72.76254262641228,90000,4.954242509439325
79,594,735,294.07099319256196,0.0006957834223193125,0.4132953528576716,58.666666666666664,531,0.20069526758900505,89.62634052182548,90000,4.954242509439325
80,718,1010,259.68066504092707,0.000647289118418286,0.4647535870243294,54.666666666666664,506,0.24113877388986557,73.78022268851961,100000,5.0
81,692,1112,228.23834342865192,0.0006156597268306399,0.42603653096680283,55.666666666666664,567,0.22499413062872706,67.87521247124008,100000,5.0
82,636,1007,404.82290633206884,0.0006847215875410401,0.4354829296761015,56.666666666666664,415,0.20441591284894467,105.01399669292871,200000,5.301029995663981
83,575,1098,348.02967839412906,0.0008284953534064356,0.47638482820870043,59.666666666666664,462,0.2230490748189863,78.38507839020465,200000,5.301029995663981
84,749,999,471.34359375679315,0.000655421926825405,0.49091102319222835,53.333333333333336,323,0.15465994232134833,129.95796801105266,300000,5.477121254719663
85,462,838,384.4255923473142,0.0008703985083676033,0.4021241108658327,58.333333333333336,344,0.20296296296296296,106.91540838852097,300000,5.477121254719663
86,639,1005,247.6417980425482,0.0006620651670107993,0.42305964171990074,59.666666666666664,590,0.23192482759967958,77.66509406317763,400000,5.6020599913279625
87,741,1048,302.3956627443353,0.000703032651010151,0.5209471943985219,59.0,525,0.25049596421277837,85.934527861519,400000,5.6020599913279625
88,920,1172,308.5783339129763,0.0005112933766133395,0.47038990648427237,48.333333333333336,675,0.2842424066774867,80.42048747971249,500000,5.698970004336019
89,947,1160,290.34259185936014,0.0005430244350647678,0.5142441400063351,55.0,795,0.3214137234716503,73.38916990022172,500000,5.698970004336019
90,1082,1264,341.0978297047537,0.0004586058483541398,0.4962115279191793,54.333333333333336,679,0.2981733103610306,87.22803273553137,600000,5.778151250383644
91,995,1160,346.9661061507937,0.0004798047778575417,0.47740575396825397,56.0,558,0.29253968253968254,89.88512400793651,600000,5.778151250383644
92,1221,1388,258.4641894690675,0.000430415951480253,0.5255378767573889,57.333333333333336,799,0.3319509758534149,64.11572330108916,700000,5.845098040014257
93,967,1112,326.8296794467042,0.0004843364809636696,0.4683533770918685,58.666666666666664,812,0.3820501901587348,86.6219585615483,700000,5.845098040014257
94,967,1161,421.4759921725132,0.0005087242388946776,0.4919363390111532,54.333333333333336,836,0.3482315856444663,103.9501479703481,800000,5.903089986991944
95,1252,1330,362.48191399992186,0.00039906844161286616,0.4996336888993084,55.0,998,0.4266840542335795,111.01066209510415,800000,5.903089986991944
96,1223,1297,376.729893675358,0.0004389930398404466,0.5368884877248662,59.333333333333336,1014,0.39720576317411327,115.84256091465397,900000,5.954242509439325
97,1380,1451,311.0953994152971,0.0003869104875501567,0.5339364728192162,28.0,1015,0.45201386694058154,100.56259876738307,900000,5.954242509439325
98,1353,1364,475.0893330880502,0.0004082243960890206,0.5523276079084448,27.0,1068,0.48036928022307857,135.8133895548111,1000000,6.0
99,1060,1096,549.7620661605206,0.00047507834836959384,0.5035830492717694,29.0,834,0.40622094824914784,155.4761630384258,1000000,6.0
